pdes,name,pha,diameter
2002 CS11,,N,
2002 CV11,,N,
2002 CW11,,N,
2002 CC14,,N,
2002 CD14,,Y,
2002 CN15,,N,
2002 CB19,,N,
2002 CA26,,N,
2002 CB26,,N,
2002 CC26,,N,
2002 CT46,,N,0.16
2002 CU46,,N,
2002 CV46,,N,
2002 CX58,,Y,0.13
2002 DH2,,N,
2002 DC3,,N,
2002 DO3,,Y,
2002 DQ3,,N,
2002 EA,,N,
2002 EC,,N,
2002 EV,,N,
2002 EW,,N,
2002 EY,,N,
2002 EH1,,N,
2002 EY2,,Y,
2002 EC3,,N,
2002 EM7,,N,
2002 EN7,,N,
2002 EW8,,N,
2002 EX8,,N,
2002 ES11,,N,
2002 ET11,,N,
2002 EU11,,Y,
2002 EV11,,Y,
2002 EW11,,N,
2002 EY11,,N,
2002 EG116,,N,
2002 FB,,N,
2002 FC,,Y,
2002 FW1,,N,
2002 FP5,,N,
2002 FQ5,,Y,
2002 FT5,,N,
2002 FU5,,N,
2002 FS6,,N,
2002 FT6,,N,
2002 GQ,,N,
2002 GR,,N,
2002 GG1,,N,
2002 GJ1,,N,
2002 GK1,,N,
2002 GM5,,Y,
2002 GN5,,N,
2002 GP5,,N,
2002 GQ5,,N,
2002 GF8,,N,
2002 GG8,,N,
2002 GJ8,,Y,
2002 GZ8,,Y,
2002 GD10,,N,
2002 HE8,,N,
2002 HP11,,Y,
2002 JS2,,N,
2002 JX8,,Y,
2002 JZ8,,Y,
2002 JC9,,N,
2002 JD9,,N,
2002 JE9,,Y,
2002 JQ9,,Y,
2002 JU15,,N,
2002 JQ97,,N,
2002 JQ100,,N,
2002 JR100,,N,0.028
2002 JD109,,N,
2002 KK3,,N,
2002 KM3,,N,
2002 KG4,,Y,
2002 KK8,,Y,
2002 LK,,N,
2002 LW,,N,
2002 LX,,Y,
2002 LY1,,N,
2002 LG3,,N,
2002 LH3,,N,
2002 LR24,,N,
2002 LS24,,N,
2002 LD31,,N,
2002 LE31,,N,
2002 LZ45,,N,
2002 LX64,,Y,
2002 MN,,N,
2002 MX,,Y,
2002 MY,,N,
2002 MT1,,N,
2002 MR3,,Y,
2002 MS3,,N,
2002 MT3,,Y,
2002 NW,,N,
2002 NY40,,Y,
2002 NE71,,N,
2002 OY21,,N,
2002 PB,,N,
2002 PN,,N,
2002 PR1,,Y,
2002 PN6,,N,
2002 PO6,,N,
2002 PQ6,,N,
2002 PC11,,N,
2002 PD11,,N,
2002 PW39,,N,
2002 PX39,,N,
2002 PY39,,N,
2002 PE43,,N,
2002 PF43,,Y,
2002 PO75,,N,
2002 PG80,,N,
2002 PE130,,Y,
2002 QZ6,,N,
2002 QH10,,N,
2002 QQ40,,Y,
2002 QG46,,N,
2002 QE47,,N,
2002 QW47,,Y,
2002 RB,,N,
2002 RT,,N,
2002 RR25,,N,
2002 RD27,,N,
2002 RO28,,N,
2002 RC117,,N,
2002 RZ125,,N,
2002 RA126,,N,
2002 RS129,,N,
2002 RT129,,N,
2002 RO137,,N,
2002 RP137,,N,
2002 RA182,,N,
2002 RB182,,N,
2002 SF,,N,
2002 SN,,N,
2002 SQ,,N,
2002 SQ41,,Y,
2002 TV55,,N,
2002 TX55,,N,
2002 TZ57,,N,
2002 TA58,,N,
2002 TD58,,N,
2002 TX59,,N,
2002 TY59,,N,
2002 TZ59,,N,
2002 TA60,,N,
2002 TC60,,N,
2002 TG66,,N,
2002 TZ66,,N,
2002 TA67,,N,
2002 TR67,,N,
2002 TS67,,N,
2002 TH68,,N,
2002 TY68,,N,
2002 TZ68,,N,
2002 TA69,,N,
2002 TB69,,N,
2002 TP69,,Y,
2002 TS69,,N,
2002 TB70,,Y,
2002 UK11,,Y,
2002 UL11,,N,
2002 UQ12,,N,
2002 UZ30,,N,
2002 UV36,,N,
2002 VQ14,,N,
2002 VR14,,N,
2002 VS14,,N,
2002 VU17,,N,
2002 VX17,,N,
2002 VO69,,N,
2002 VP69,,Y,
2002 VO85,,N,
2002 VP85,,N,
2002 VR85,,Y,
2002 VS85,,N,
2002 VX91,,N,
2002 VY91,,N,
2002 VZ91,,N,
2002 VR94,,N,
2002 VT94,,N,
2002 VU114,,N,
2002 WQ,,N,
2002 WX12,,N,
2002 XA,,N,
2002 XB,,N,
2002 XO1,,N,
2002 XT4,,N,
2002 XU4,,N,
2002 XW4,,N,
2002 XM14,,N,
2002 XO14,,Y,
2002 XS14,,N,
2002 XM35,,N,
2002 XY39,,N,
2002 XB40,,N,
2002 XF40,,N,
2002 XO40,,N,
2002 XP40,,N,
2002 XQ40,,N,
2002 XE84,,N,
2002 XQ90,,N,
2002 XS90,,N,
2002 XT90,,N,
2002 XV90,,N,
2002 YO2,,N,
2002 YG4,,N,
2002 YR5,,N,
2002 YC12,,N,
2002 YD12,,N,
2003 AC1,,N,
2003 AY2,,Y,
2003 AA3,,Y,
2003 AM4,,N,
2003 AB23,,N,
2003 AC23,,Y,
2003 AF23,,Y,
2003 AS42,,N,
2003 AJ69,,N,
2003 AK73,,N,
2003 AA83,,N,
2003 BN1,,N,
2003 BM4,,N,
2003 BN4,,N,
2003 BB21,,Y,
2003 BW33,,N,
2003 BS35,,N,
2003 BV35,,N,
2003 BC44,,N,
2003 BC46,,N,
2003 BK47,,Y,
2003 BR47,,Y,
2003 BS47,,N,
2003 CA4,,N,
2003 CC11,,N,1.129
2003 CG11,,Y,
2003 CL18,,N,
2003 CO20,,N,
2003 CQ20,,N,
2003 DF6,,N,
2003 DG6,,N,
2003 DH6,,N,
2003 DW10,,N,
2003 DY15,,N,
2003 DZ15,,N,
2003 DA16,,N,
2003 DF16,,N,
2003 EM1,,N,
2003 EP4,,N,
2003 EG16,,Y,
2003 EH16,,N,
2003 EP16,,N,
2003 EZ16,,N,
2003 EC50,,N,
2003 EJ59,,N,
2003 EW59,,N,
2003 FK1,,N,
2003 FU3,,N,
2003 FV3,,N,
2003 FB5,,N,
2003 FF5,,N,
2003 FY6,,N,
2003 FJ8,,N,
2003 GD,,N,
2003 GX,,N,
2003 GF21,,N,
2003 GG21,,Y,
2003 GH21,,N,
2003 GJ21,,N,
2003 GQ22,,Y,
2003 GR22,,Y,
2003 GS22,,N,
2003 GB34,,N,
2003 GU41,,N,
2003 GD42,,N,
2003 GP51,,Y,
2003 HM,,Y,
2003 HN,,N,
2003 HW10,,N,
2003 HN16,,Y,
2003 HP32,,N,
2003 HT42,,N,
2003 JX2,,N,
2003 JY2,,N,
2003 JG4,,N,
2003 JD11,,N,
2003 JD13,,N,
2003 JN14,,N,
2003 JO14,,N,
2003 JP14,,N,
2003 JV14,,N,
2003 JC17,,N,
2003 JD17,,N,
2003 KF4,,N,
2003 KW16,,N,
2003 KQ18,,N,
2003 LH,,N,
2003 LW1,,N,
2003 LW2,,N,
2003 LN6,,N,
2003 MN,,N,
2003 MU,,Y,
2003 ME1,,N,
2003 MS2,,Y,
2003 MK4,,Y,
2003 ME7,,N,
2003 MW7,,N,
2003 NB,,N,
2003 ND,,N,
2003 NL7,,N,
2003 OA3,,N,
2003 OC3,,Y,
2003 OT13,,N,
2003 PN5,,N,
2003 QA,,N,
2003 QC,,N,
2003 QK5,,N,
2003 QU5,,N,
2003 QQ10,,N,
2003 QY29,,N,
2003 QZ29,,N,
2003 QA30,,N,
2003 QB30,,N,
2003 QB31,,N,
2003 QF70,,N,
2003 QL96,,N,
2003 RS1,,Y,
2003 RE2,,N,
2003 RB5,,Y,
2003 RD5,,N,
2003 RL10,,N,
2003 RW10,,N,
2003 RU11,,N,
2003 RW11,,N,1.507
2003 SF,,N,
2003 SY4,,N,
2003 SK5,,N,
2003 SL5,,N,
2003 SQ15,,N,
2003 SY17,,N,
2003 SK36,,N,
2003 SL36,,N,
2003 SH84,,N,
2003 SK84,,Y,
2003 SM84,,N,
2003 SR84,,N,
2003 SS84,,Y,
2003 SU84,,N,
2003 SA85,,N,
2003 SW130,,N,
2003 SJ154,,N,
2003 SV159,,N,
2003 SF170,,N,
2003 SJ170,,N,
2003 SD201,,N,
2003 SN214,,N,
2003 SS214,,N,0.856
2003 SU214,,N,
2003 SH215,,N,
2003 SK215,,N,
2003 SL215,,N,
2003 SM215,,N,
2003 SN215,,N,
2003 SQ222,,N,
2003 TK1,,N,
2003 TL1,,N,
2003 TM1,,N,
2003 TG2,,N,
2003 TH2,,N,
2003 TK2,,Y,
2003 TO9,,Y,
2003 TR9,,Y,
2003 TT9,,N,
2003 TX9,,N,
2003 UE,,N,
2003 UM3,,N,
2003 UQ3,,N,
2003 UB5,,N,
2003 UC5,,N,
2003 UD5,,N,
2003 UW5,,N,
2003 UX5,,N,
2003 UE8,,N,
2003 UL9,,N,
2003 UC10,,N,
2003 UO12,,N,
2003 UP12,,N,
2003 UQ12,,N,
2003 UY12,,N,
2003 UY19,,N,
2003 UB22,,N,
2003 UC22,,N,
2003 UE22,,N,
2003 UG22,,N,
2003 UP24,,N,
2003 UO25,,N,
2003 UP25,,N,
2003 UQ25,,N,
2003 UR25,,N,
2003 UW26,,N,
2003 UX26,,N,
2003 UT55,,N,
2003 VE1,,Y,
2003 WE,,N,
2003 WG,,Y,
2003 WP7,,N,
2003 WP21,,Y,
2003 WQ21,,N,
2003 WU21,,N,
2003 WR25,,N,
2003 WW26,,N,
2003 WY87,,N,
2003 WH98,,N,
2003 WJ98,,N,
2003 WO151,,N,
2003 WT153,,N,
2003 WU153,,N,
2003 WY153,,N,
2003 WE157,,N,
2003 WC158,,Y,
2003 WH166,,Y,
2003 XK,,N,
2003 XM,,N,
2003 XV,,N,
2003 XJ7,,N,
2003 XH10,,N,
2003 XZ12,,N,
2003 YJ,,N,
2003 YM1,,N,
2003 YN1,,N,
2003 YP1,,Y,
2003 YQ1,,N,
2003 YR1,,N,
2003 YS1,,N,
2003 YW1,,N,
2003 YP3,,N,
2003 YN7,,N,
2003 YP17,,N,
2003 YS17,,Y,
2003 YD45,,Y,
2003 YS70,,N,
2003 YT70,,N,
2003 YP94,,N,
2003 YN107,,N,
2003 YH111,,N,
2003 YR117,,N,
2003 YL118,,Y,
2003 YG136,,N,
2003 YH136,,Y,
2003 YJ136,,N,
2004 AC,,N,
2004 AD,,N,
2004 AM,,N,
2004 AD1,,N,
2004 AY1,,N,
2004 AE6,,N,
2004 BY1,,N,
2004 BF11,,N,
2004 BH11,,N,
2004 BJ11,,N,
2004 BK11,,N,
2004 BM11,,N,
2004 BV18,,N,
2004 BW18,,N,
2004 BZ18,,N,
2004 BY21,,N,
2004 BG41,,N,
2004 BN41,,N,
2004 BT58,,N,
2004 BX58,,N,
2004 BZ74,,N,0.962
2004 BA75,,N,
2004 BB75,,N,
2004 BF85,,N,
2004 BE86,,N,
2004 BK86,,N,
2004 CC,,N,
2004 CQ,,N,
2004 CS,,N,
2004 CZ1,,N,
2004 CA2,,N,
2004 CR2,,N,
2004 CD39,,N,
2004 CE39,,N,
2004 CO49,,Y,
2004 CP49,,N,
2004 CH52,,N,
2004 DK1,,N,
2004 DL1,,N,
2004 DF2,,N,
2004 DM44,,Y,
2004 DA53,,N,
2004 EH1,,N,
2004 EJ1,,N,
2004 EL20,,N,
2004 EO20,,N,
2004 ER21,,N,
2004 ET21,,N,
2004 EU22,,N,
2004 FA,,N,
2004 FD,,N,
2004 FE,,N,
2004 FH,,N,
2004 FW1,,Y,
2004 FX1,,N,
2004 FY1,,N,
2004 FK2,,N,
2004 FY3,,N,
2004 FD4,,N,
2004 FE4,,N,
2004 FM4,,N,
2004 FP4,,N,
2004 FA5,,N,
2004 FK5,,N,
2004 FZ5,,N,
2004 FN8,,N,
2004 FJ11,,Y,
2004 FY15,,N,
2004 FB16,,N,
2004 FN17,,N,
2004 FB18,,N,
2004 FC18,,N,
2004 FF29,,N,
2004 FG29,,N,
2004 FH29,,N,
2004 FJ31,,N,
2004 FY31,,Y,
2004 FM32,,N,
2004 FU162,,N,
2004 GA,,N,
2004 GD,,N,
2004 GB2,,Y,
2004 GD2,,N,
2004 GE2,,Y,
2004 GZ14,,N,
2004 GB19,,N,
2004 GC19,,N,
2004 HB,,N,
2004 HD,,N,
2004 HE,,N,
2004 HL,,N,
2004 HM,,N,
2004 HZ,,N,
2004 HA1,,N,
2004 HQ1,,N,
2004 HD2,,Y,
2004 HF12,,Y,
2004 HG12,,Y,
2004 HH20,,N,
2004 HC33,,N,
2004 HH33,,N,
2004 HT38,,N,
2004 HA39,,N,
2004 HB39,,N,
2004 HC39,,Y,
2004 HW53,,N,
2004 HX53,,N,
2004 HR56,,N,
2004 HS56,,N,
2004 HT59,,N,
2004 JB,,N,
2004 JC,,N,
2004 JN1,,N,
2004 JO1,,N,
2004 JP1,,N,
2004 JR1,,N,
2004 JO12,,N,
2004 JP12,,N,
2004 JO20,,N,
2004 JU20,,N,
2004 JV20,,N,
2004 KA,,N,
2004 KB,,Y,
2004 KZ,,N,
2004 KF1,,N,
2004 KG1,,N,
2004 KN10,,N,
2004 KZ14,,N,
2004 KF15,,N,
2004 KE17,,Y,
2004 KF17,,N,
2004 KG17,,N,
2004 LB,,Y,
2004 LC,,N,
2004 LK,,N,
2004 LV,,N,
2004 LB1,,N,
2004 LB2,,N,
2004 LD2,,N,
2004 LO2,,N,
2004 LU3,,N,
2004 LX5,,N,
2004 LY5,,Y,
2004 LZ5,,N,
2004 LA6,,N,
2004 LA10,,N,
2004 MC,,N,
2004 MD,,Y,
2004 MN1,,N,
2004 MO1,,N,
2004 MP1,,N,
2004 MR1,,N,
2004 MS1,,N,
2004 MV2,,N,
2004 MW2,,N,
2004 MX2,,Y,1.258
2004 MO3,,N,
2004 MP3,,N,
2004 MO4,,N,
2004 MB6,,N,
2004 ME6,,N,
2004 MQ6,,N,
2004 MP7,,Y,
2004 NF3,,N,
2004 NU7,,N,
2004 NK8,,N,
2004 NM8,,N,
2004 OD4,,N,
2004 OF6,,N,
2004 OW10,,N,
2004 PJ,,N,
2004 PJ2,,Y,
2004 PM2,,N,
2004 PZ19,,N,
2004 PE20,,N,
2004 PF20,,N,
2004 PG20,,N,
2004 PY27,,N,
2004 PS42,,Y,
2004 PU42,,N,
2004 PR92,,N,
2004 PS92,,N,
2004 PB97,,N,
2004 PD97,,N,
2004 QB,,Y,
2004 QZ1,,N,
2004 QA2,,N,
2004 QX2,,Y,
2004 QB3,,N,
2004 QD3,,N,
2004 QR4,,N,
2004 QN5,,N,
2004 QO5,,N,
2004 QG13,,N,
2004 QJ13,,N,
2004 QF14,,N,
2004 QC17,,N,
2004 QD17,,N,
2004 QG20,,N,
2004 QA22,,N,
2004 QN22,,N,
2004 RV2,,N,
2004 RW2,,N,
2004 RJ9,,N,
2004 RQ10,,Y,
2004 RW10,,Y,
2004 RY10,,Y,
2004 RB11,,N,
2004 RC11,,N,
2004 RS25,,N,
2004 RC80,,N,
2004 RE84,,Y,
2004 RF84,,Y,
2004 RQ109,,N,
2004 RS109,,N,
2004 RU109,,N,
2004 RY109,,Y,
2004 RN111,,N,
2004 RO111,,N,
2004 RG164,,N,
2004 RU164,,N,
2004 RV164,,N,
2004 RX164,,N,
2004 RY164,,N,
2004 RZ164,,Y,
2004 RX165,,N,
2004 RL251,,N,
2004 RN251,,N,
2004 RC252,,N,
2004 RQ252,,N,
2004 RH357,,N,
2004 SA,,N,
2004 SR,,N,
2004 SS,,Y,
2004 SA1,,N,
2004 SB1,,N,
2004 ST2,,N,
2004 SY4,,N,
2004 SA20,,N,
2004 SD26,,N,
2004 SE26,,N,
2004 SR26,,N,
2004 SS26,,N,
2004 ST26,,N,
2004 SU26,,N,
2004 SW26,,N,
2004 SU55,,N,
2004 SC56,,N,0.291
2004 TA1,,N,
2004 TN1,,Y,
2004 TP1,,Y,
2004 TE8,,N,
2004 TB10,,Y,
2004 TD10,,N,
2004 TE10,,N,
2004 TF10,,N,
2004 TG10,,Y,1.316
2004 TJ10,,N,
2004 TL10,,Y,
2004 TU11,,N,
2004 TV11,,N,
2004 TW11,,N,
2004 TT12,,N,
2004 TP13,,N,
2004 TK14,,N,
2004 TC18,,N,
2004 TD18,,N,
2004 TE18,,N,
2004 TN20,,N,
2004 TO20,,N,
2004 TX37,,N,
2004 UB,,N,
2004 UE,,Y,
2004 UR,,N,
2004 UH1,,N,
2004 UR1,,Y,
2004 US1,,N,
2004 UT1,,N,
2004 UV1,,Y,
2004 VP,,N,
2004 VW,,N,
2004 VZ,,N,
2004 VH1,,N,
2004 VJ1,,N,
2004 VY14,,N,
2004 VZ14,,N,
2004 VM24,,N,
2004 VZ60,,N,
2004 VB61,,N,
2004 VQ65,,N,
2004 WC1,,N,
2004 WH1,,N,
2004 WK1,,Y,
2004 XG,,N,
2004 XJ,,N,
2004 XK,,N,
2004 XO,,Y,
2004 XH3,,N,
2004 XK3,,N,
2004 XL4,,N,
2004 XD6,,N,
2004 XE6,,N,
2004 XK14,,N,0.240
2004 XP14,,Y,
2004 XG29,,N,
2004 XJ29,,N,
2004 XK29,,N,
2004 XL29,,N,
2004 XM29,,N,
2004 XN29,,Y,
2004 XO29,,N,
2004 XJ35,,N,
2004 XO35,,N,
2004 XP35,,N,
2004 XA45,,N,
2004 XB45,,N,
2004 XJ50,,N,
2004 XC51,,N,
2004 XD51,,N,
2004 XO63,,N,
2004 YA,,N,
2004 YC,,N,
2004 YD,,N,
2004 YE,,N,
2004 YQ,,N,
2004 YR,,N,
2004 YG1,,N,
2004 YJ1,,N,
2004 YK1,,N,
2004 YA5,,N,
2004 YD5,,N,
2004 YY23,,N,
2005 AJ3,,N,
2005 AK3,,N,
2005 AU3,,N,
2005 AV3,,N,
2005 AO19,,N,
2005 AQ19,,N,
2005 AV27,,Y,
2005 AX28,,N,
2005 AZ28,,N,
2005 BD,,N,
2005 BU,,N,
2005 BL1,,N,
2005 BM1,,N,
2005 BN1,,N,
2005 BS1,,N,
2005 BT1,,N,
2005 BU1,,N,
2005 BW1,,N,
2005 BY1,,N,
2005 BH14,,N,
2005 BG28,,N,
2005 CK,,N,
2005 CL,,Y,
2005 CM,,N,
2005 CN,,N,
2005 CA7,,N,
2005 CM7,,N,
2005 CP7,,N,
2005 CQ7,,N,
2005 CC37,,N,
2005 CR37,,N,1.201
2005 CP38,,N,
2005 CU38,,N,
2005 CE41,,N,
2005 CG41,,N,
2005 CN61,,N,
2005 CU61,,N,
2005 DD,,Y,
2005 DO,,N,
2005 EA,,Y,
2005 EZ,,N,
2005 EP1,,N,
2005 ES1,,N,
2005 ET2,,N,
2005 EU2,,N,
2005 EB30,,N,
2005 EN30,,N,
2005 EO30,,N,
2005 EO33,,Y,
2005 EL70,,N,
2005 EM70,,N,
2005 EN70,,N,
2005 EO70,,N,
2005 EQ70,,N,
2005 ER70,,N,
2005 ET70,,N,
2005 EC71,,N,
2005 EH94,,N,
2005 EQ95,,N,
2005 ER95,,N,
2005 ES95,,N,
2005 ET95,,N,
2005 EU95,,N,
2005 EV95,,N,
2005 EE169,,N,
2005 EG169,,N,
2005 EJ169,,N,
2005 EL169,,N,
2005 EM169,,N,
2005 EW169,,Y,
2005 EX169,,N,
2005 EY169,,N,
2005 EZ169,,N,
2005 EZ223,,N,
2005 ED224,,N,
2005 FA,,N,
2005 FC,,N,
2005 FE,,N,
2005 FG,,N,
2005 FJ,,N,
2005 FK,,N,
2005 FN,,N,
2005 FV2,,N,
2005 FE3,,Y,
2005 GH,,N,
2005 GJ,,N,
2005 GK,,N,
2005 GT,,N,
2005 GU,,Y,
2005 GL1,,N,
2005 GJ8,,Y,
2005 GY8,,Y,
2005 GM22,,N,
2005 GN22,,N,
2005 GP33,,N,
2005 GQ33,,N,
2005 GR33,,N,
2005 GB34,,N,
2005 GO59,,N,
2005 GD60,,Y,
2005 GF81,,N,
2005 GG81,,N,
2005 GH81,,Y,
2005 GX110,,N,
2005 GZ110,,N,
2005 GX119,,N,
2005 GA120,,N,
2005 GZ128,,N,
2005 GK141,,N,
2005 GM162,,N,
2005 HB,,N,
2005 HF,,N,
2005 HN3,,N,
2005 HB4,,N,
2005 HC4,,N,
2005 JS1,,N,
2005 JT1,,N,
2005 JU1,,Y,
2005 JV1,,N,
2005 JN3,,N,
2005 JO3,,N,
2005 JR5,,N,
2005 JB22,,N,
2005 JA45,,N,
2005 JB46,,N,
2005 JD46,,N,
2005 JF46,,N,
2005 JQ81,,N,
2005 JT81,,N,
2005 JU81,,Y,
2005 JJ91,,N,
2005 JZ93,,N,
2005 JF108,,N,
2005 JT108,,N,
2005 JU108,,N,
2005 KA,,N,
2005 KR,,N,
2005 KD7,,N,
2005 KP9,,N,
2005 KJ10,,Y,
2005 LC,,N,
2005 LD,,N,
2005 LM3,,N,
2005 LO3,,N,
2005 LU3,,N,
2005 LV3,,N,
2005 LW3,,Y,
2005 LV7,,N,
2005 LW19,,N,
2005 LV30,,N,
2005 LX36,,Y,
2005 LA37,,N,
2005 LW39,,Y,
2005 LQ40,,N,
2005 LZ42,,N,
2005 MA,,N,
2005 MR1,,N,
2005 MW1,,N,
2005 MX1,,N,
2005 ME5,,N,
2005 MF5,,N,
2005 MG5,,N,
2005 MR5,,N,
2005 MW9,,N,
2005 ML13,,N,
2005 MN13,,N,
2005 MP13,,N,
2005 NG,,N,
2005 NL1,,N,
2005 NQ1,,N,
2005 NE7,,Y,
2005 NE21,,N,
2005 NX39,,N,
2005 NY39,,N,
2005 NX55,,N,
2005 NB56,,N,
2005 NG56,,N,
2005 ND63,,N,
2005 NJ63,,N,
2005 OW,,N,
2005 OX,,Y,
2005 OU1,,N,
2005 OV1,,N,
2005 OX1,,N,
2005 OR2,,N,
2005 OT2,,N,
2005 OD3,,Y,
2005 OE3,,Y,
2005 OF3,,N,
2005 OG3,,N,
2005 OH3,,N,
2005 OK3,,N,
2005 PP,,N,
2005 PH2,,N,
2005 PA5,,Y,
2005 PX16,,N,
2005 PA17,,N,
2005 QC,,N,
2005 QL,,N,1.847
2005 QA5,,N,
2005 QB5,,N,
2005 QS10,,N,
2005 QN11,,N,
2005 QO11,,N,
2005 QP11,,N,
2005 QQ11,,N,
2005 QG30,,N,
2005 QQ30,,N,
2005 QK76,,N,
2005 QL76,,N,
2005 QP87,,N,
2005 QQ87,,N,
2005 QR87,,N,
2005 QF88,,N,
2005 QG88,,N,
2005 QX151,,N,
2005 QZ151,,Y,
2005 QR173,,N,
2005 QS176,,N,
2005 RA,,N,
2005 RB,,N,
2005 RJ,,N,
2005 RZ2,,N,
2005 RA3,,N,
2005 RB3,,N,
2005 RJ3,,N,
2005 RK3,,N,
2005 RW3,,N,
2005 RX3,,N,
2005 RP6,,N,
2005 RV24,,N,
2005 RO33,,N,
2005 RC34,,Y,
2005 RD34,,N,
2005 SC,,N,
2005 SL,,N,
2005 SQ,,Y,
2005 SO1,,N,
2005 SP1,,N,
2005 SQ1,,N,
2005 SS1,,N,
2005 SR4,,N,
2005 ST4,,N,
2005 SV4,,N,
2005 SW4,,N,
2005 SX4,,N,
2005 SP9,,N,
2005 SQ9,,N,
2005 SR9,,N,
2005 SW9,,N,
2005 SJ19,,N,
2005 SM25,,N,
2005 SG26,,N,
2005 SH26,,N,
2005 SJ26,,N,
2005 SK26,,N,
2005 SY70,,N,
2005 SZ70,,N,
2005 SD71,,N,
2005 TA,,N,
2005 TC,,N,
2005 TD,,N,
2005 TE,,N,
2005 TF,,N,
2005 TL,,N,
2005 TM,,N,
2005 TN,,N,
2005 TP,,Y,
2005 TR,,N,
2005 TB15,,N,
2005 TF15,,N,
2005 TP15,,N,
2005 TS15,,Y,
2005 TE45,,N,
2005 TF45,,N,
2005 TH45,,N,
2005 TO45,,N,
2005 TP45,,N,
2005 TQ45,,N,
2005 TR45,,N,
2005 TS45,,N,
2005 TD49,,N,
2005 TE49,,N,
2005 TF49,,Y,
2005 TF50,,N,
2005 TG50,,N,
2005 TH50,,N,
2005 TK50,,N,
2005 TR50,,Y,
2005 TU50,,Y,
2005 TC51,,N,
2005 TV51,,N,
2005 TY51,,N,
2005 TM173,,N,
2005 UC,,N,
2005 UE,,N,
2005 UF,,N,
2005 UG,,N,
2005 UH,,N,
2005 UL,,N,
2005 UN,,N,
2005 UQ,,N,
2005 UR,,Y,
2005 UA1,,N,
2005 UC1,,N,
2005 UE1,,N,
2005 UF1,,N,
2005 UG1,,N,
2005 UJ1,,N,
2005 UL1,,N,
2005 UC3,,N,
2005 UE3,,N,
2005 UF3,,N,
2005 UG3,,N,
2005 UU3,,N,
2005 UW3,,N,
2005 UF5,,N,
2005 UG5,,N,
2005 UH5,,N,
2005 UK5,,N,
2005 UN5,,N,
2005 UW5,,N,
2005 UX5,,N,
2005 UZ5,,N,
2005 UA6,,N,
2005 UL6,,N,
2005 US6,,N,
2005 UU6,,N,
2005 UV6,,N,
2005 UW6,,Y,
2005 UF7,,N,
2005 UP64,,N,
2005 UQ64,,N,
2005 UR64,,N,
2005 US64,,N,
2005 UT64,,Y,
2005 UV64,,N,
2005 UW64,,N,
2005 UO157,,N,
2005 VA,,N,
2005 VF,,N,
2005 VN,,N,
2005 VO,,N,
2005 VP,,N,
2005 VR,,N,
2005 VS,,N,
2005 VH1,,N,
2005 VJ1,,N,
2005 VK1,,N,
2005 VL1,,N,
2005 VM1,,N,
2005 VN1,,N,
2005 VY1,,N,
2005 VA2,,N,
2005 VC2,,N,
2005 VT2,,N,
2005 VY3,,N,
2005 VZ3,,N,
2005 VN5,,N,
2005 VO5,,Y,
2005 VS5,,N,
2005 VD7,,N,
2005 VE7,,N,
2005 VG7,,N,
2005 VR7,,Y,
2005 VT7,,N,
2005 VO118,,N,
2005 VP118,,N,
2005 WA,,N,
2005 WC,,N,
2005 WD,,Y,
2005 WF,,N,
2005 WX,,N,
2005 WY,,N,
2005 WZ,,N,
2005 WA1,,Y,
2005 WY1,,N,
2005 WC2,,N,
2005 WR2,,N,
2005 WM3,,N,
2005 WN3,,N,
2005 WO3,,N,
2005 WP3,,N,
2005 WQ3,,N,
2005 WR3,,N,
2005 WS3,,N,
2005 WF4,,N,
2005 WG4,,N,
2005 WH4,,N,
2005 WR54,,N,
2005 WE55,,N,
2005 WF55,,N,
2005 WY55,,Y,
2005 WZ55,,N,
2005 WK56,,N,
2005 WF57,,N,
2005 WG57,,N,
2005 WP57,,N,
2005 XA,,N,
2005 XC,,N,
2005 XN,,N,
2005 XX,,N,
2005 XY,,N,
2005 XC1,,N,
2005 XK4,,N,
2005 XL4,,N,
2005 XN4,,N,
2005 XO4,,N,
2005 XW4,,N,
2005 XX4,,N,
2005 XY4,,N,
2005 XY7,,N,
2005 XZ7,,N,
2005 XA8,,N,
2005 XN27,,N,
2005 XO66,,N,
2005 XP66,,N,
2005 XT77,,Y,
2005 XW77,,N,
2005 XX77,,N,
2005 YC,,N,
2005 YD,,N,
2005 YK,,N,
2005 YY1,,N,
2005 YN3,,N,
2005 YO3,,N,
2005 YR3,,N,
2005 YU3,,Y,
2005 YS8,,Y,
2005 YT8,,N,
2005 YU8,,N,
2005 YA37,,N,
2005 YP55,,N,
2005 YT55,,N,
2005 YW93,,N,
2005 YQ96,,Y,
2005 YL128,,N,
2005 YN128,,N,
2005 YO128,,N,
2005 YT128,,N,
2005 YU128,,N,
2005 YX128,,N,
2006 AN,,N,
2006 AX,,N,
2006 AV2,,N,
2006 AB3,,N,
2006 AC3,,N,
2006 AL3,,N,
2006 AP3,,N,
2006 AQ3,,N,
2006 AR3,,Y,
2006 AS3,,N,
2006 AT3,,N,
2006 AU3,,N,
2006 AF4,,N,
2006 AG4,,N,
2006 AH4,,N,
2006 AJ4,,N,
2006 AK4,,N,
2006 AL4,,N,
2006 AM4,,Y,
2006 AN4,,N,
2006 AL8,,N,
2006 AM8,,N,
2006 AN8,,N,
2006 AW44,,N,
2006 AX44,,N,
2006 BA,,N,
2006 BC,,N,
2006 BF,,N,
2006 BO6,,N,
