pdes,name,pha,diameter
53429,,Y,
53430,,N,1.233
53435,,N,
53550,,Y,
53789,,Y,0.843
54071,,N,
54401,,N,1.189
54509,YORP,N,
54660,,N,
54686,,N,1.349
54690,,N,
54789,,N,1.567
55408,,N,0.461
55532,,N,1.306
65674,,N,
65679,,Y,0.918
65690,,Y,
65706,,N,
65717,,Y,
65733,,N,
65803,Didymos,Y,0.78
65909,,Y,
65996,,N,
66008,,N,1.484
66063,,N,
66146,,N,2.864
66251,,N,1.222
66253,,N,
66272,,N,0.808
66391,Moshup,Y,1.317
66400,,N,0.411
66407,,N,
66959,,N,
67367,,Y,
67381,,Y,
67399,,N,
68031,,N,
68063,,N,2.301
68216,,Y,0.994
68267,,N,0.875
68278,,N,0.942
68346,,Y,0.736
68347,,Y,
68348,,N,3.512
68350,,N,1.794
68359,,N,
68372,,Y,
68548,,Y,1.182
68950,,Y,1.650
69230,Hermes,Y,
85182,,Y,1.1
85184,,N,
85236,,Y,
85275,,N,2.506
85490,,N,
85585,Mjolnir,Y,
85628,,N,0.775
85640,,Y,
85709,,N,2.230
85713,,Y,3.484
85770,,N,
85774,,Y,0.939
85804,,N,2.272
85818,,N,2.028
85839,,N,1.140
85867,,N,
85938,,Y,
85953,,N,0.59
85989,,Y,1.462
85990,,Y,0.451
86039,,Y,2.22
86067,,N,1.245
86324,,N,2.102
86326,,N,1.348
86450,,N,
86666,,N,1.165
86667,,N,0.745
86819,,Y,0.802
86829,,N,1.823
86878,,N,
87024,,N,
87025,,N,
87309,,N,0.568
87311,,N,1.948
87684,,Y,
88188,,N,1.371
88213,,N,0.912
88254,,Y,0.800
88263,,N,5.748
88264,,N,
88710,,N,0.760
88959,,N,
89136,,Y,
89355,,N,2.038
89830,,Y,5.067
89958,,Y,
89959,,Y,1.407
90075,,Y,2.233
90147,,N,
90367,,N,1.748
90373,,N,
90403,,Y,0.572
90416,,Y,0.968
96189,Pygmalion,N,3.605
96315,,N,
96536,,N,
96590,,N,0.882
96631,,N,
96744,,N,
97725,,N,
98943,,N,
99248,,Y,1.115
99799,,N,
99907,,N,1.4
99935,,N,
99942,Apophis,Y,0.34
100004,,N,2.70
100085,,Y,
100756,,N,1.809
100926,,N,1.174
101869,,Y,
101873,,N,
101955,Bennu,Y,0.492
102873,,N,
103067,,Y,1.282
105140,,N,1.946
105141,,N,0.352
106538,,N,
106589,,N,
108519,,N,1.423
108906,,N,
111253,,Y,3.006
112221,,N,
112985,,N,3.618
115052,,N,
136564,,N,0.4
136582,,N,
136617,,Y,
136618,,Y,
136635,,N,
136745,,N,
136770,,N,
136773,,N,
136793,,N,
136795,,Y,
136818,Selqet,N,
136839,,N,
136849,,Y,
136874,,N,3.398
136897,,N,
136900,,N,
136923,,N,
136993,,N,
137032,,N,1.055
137044,,N,
137052,Tjelvar,N,
137062,,N,1.265
137064,,N,
137078,,N,
137084,,N,1.228
137099,,N,0.564
137108,,Y,
137120,,Y,
137125,,N,
137126,,Y,
137158,,N,
137170,,N,
137175,,N,
137199,,N,
137427,,Y,
137671,,N,
137799,,N,
137802,,N,
137805,,N,2.243
137911,,N,
137924,,N,0.970
137925,,N,1.372
138013,,N,3.518
138095,,N,
138127,,Y,0.754
138155,,N,
138175,,Y,
138205,,N,
138258,,N,
138325,,N,
138359,,N,1.085
138404,,Y,
138524,,Y,
138727,,Y,
138815,,N,
138846,,N,
138847,,N,0.965
138852,,N,
138859,,N,
138877,,N,
138883,,N,1.222
138893,,N,
138911,,N,
138925,,N,
138937,,N,
138947,,N,0.447
138971,,Y,
139047,,N,
139056,,N,0.32
139211,,Y,
139289,,N,1.126
139345,,N,2.586
139359,,Y,
139622,,Y,
140039,,Y,
140158,,Y,0.566
140288,,Y,1.263
140333,,N,
140928,,N,
141018,,N,
141052,,N,
141053,,Y,
141056,,N,
141078,,N,
141079,,N,
141354,,N,
141424,,N,
141432,,Y,0.239
141447,,N,
141484,,N,1.034
141495,,Y,
141498,,N,
141525,,Y,
141526,,N,
141527,,Y,
141531,,N,0.303
141593,,Y,
141614,,Y,
141670,,N,
141761,,N,
141765,,N,
141851,,Y,
141874,,N,
142040,,N,1.232
142348,,N,
142464,,N,0.886
142555,,N,
142561,,N,
142563,,N,0.860
